seq,hypothesis,model,label,q,policy,quota,category_cap,factor_count,cumulative,cagr,mdd,turnover,max_factor_weight,mean_herfindahl,progress,ledger,report,run_dir
1,selected-factor-count-7,baseline_mean,baseline_mean,0.3,selected_13_global_local,,,7,11.282145490405957,0.08175446572423462,-0.2951343535872675,0.11300168716168184,0.25063896141612874,0.1773745607350015,True,reports/factor_router_seq_1_selected-factor-count-7_20260529T111620Z.json,reports/factor_router_seq_1_selected-factor-count-7_20260529T111620Z.md,experiments/ddqm2_factor_router_seq_1_selected-factor-count-7_20260529T111620Z/factor_router_seq_1_selected-factor-count-7_20260529T111620Z_baseline_mean_q30_n7_polselected_13_global_local_macroddqm2_25x3_us_macro_mw0p0
2,local-only,baseline_mean,baseline_mean,0.3,local_only,,,13,34.78233840928655,0.11861056153100558,-0.33241501687027764,0.43462293303857824,0.1936039486227294,0.11366742833644772,True,reports/factor_router_seq_2_local-only_20260529T112801Z.json,reports/factor_router_seq_2_local-only_20260529T112801Z.md,experiments/ddqm2_factor_router_seq_2_local-only_20260529T112801Z/factor_router_seq_2_local-only_20260529T112801Z_baseline_mean_q30_n13_pollocal_only_macroddqm2_25x3_us_macro_mw0p0
3,global-only,baseline_mean,baseline_mean,0.3,global_only,,,13,5.323066470954169,0.059644123395552695,-0.593488699830446,0.19981469401472146,0.24658565104391772,0.1384364031695319,True,reports/factor_router_seq_3_global-only_20260529T113939Z.json,reports/factor_router_seq_3_global-only_20260529T113939Z.md,experiments/ddqm2_factor_router_seq_3_global-only_20260529T113939Z/factor_router_seq_3_global-only_20260529T113939Z_baseline_mean_q30_n13_polglobal_only_macroddqm2_25x3_us_macro_mw0p0
4,quota-policy-6-7,baseline_mean,baseline_mean,0.3,quota,6:7,,13,16.705906653746197,0.09422222135329217,-0.35192039305951095,0.16206117598409794,0.1893307052664691,0.11247690597704683,True,reports/factor_router_seq_4_quota-policy_20260529T115054Z.json,reports/factor_router_seq_4_quota-policy_20260529T115054Z.md,experiments/ddqm2_factor_router_seq_4_quota-policy_20260529T115054Z/factor_router_seq_4_quota-policy_20260529T115054Z_baseline_mean_q30_n13_polquota_quota6x7_macroddqm2_25x3_us_macro_mw0p0
5,family-cap-policy-cap3-retry,baseline_mean,baseline_mean,0.3,category_capped,,3,13,27.302132066990797,0.11042135772988004,-0.3148121976629109,0.5627218254272552,0.15264549908984226,0.1052034055649816,True,reports/factor_router_seq_5_family-cap-policy_retry_20260529T120707Z.json,reports/factor_router_seq_5_family-cap-policy_retry_20260529T120707Z.md,experiments/ddqm2_factor_router_seq_5_family-cap-policy_retry_20260529T120707Z/factor_router_seq_5_family-cap-policy_retry_20260529T120707Z_baseline_mean_q30_n13_polcategory_capped_cap3_macroddqm2_25x3_us_macro_mw0p0
6,local-only-q40-storage-light,baseline_mean,baseline_mean,0.4,local_only,,,13,15.138968132275682,0.09105004477017542,-0.2721880014310749,0.37282306166944323,,,True,reports/factor_router_auto_6_local-only-q40_20260529T122202Z.json,reports/factor_router_auto_6_local-only-q40_20260529T122202Z.md,experiments/ddqm2_factor_router_auto_6_local-only-q40_20260529T122202Z/factor_router_auto_6_local-only-q40_20260529T122202Z_baseline_mean_q40_n13_pollocal_only_macroddqm2_25x3_us_macro_mw0p0
7,local-only-q20-preserve-scores,baseline_mean,baseline_mean,0.2,local_only,,,13,76.77869138327571,0.146155849367116,-0.3917776998394573,0.6387101835772051,,,True,reports/factor_router_auto_7_local-only-q20_20260529T132756Z.json,reports/factor_router_auto_7_local-only-q20_20260529T132756Z.md,experiments/ddqm2_factor_router_auto_7_local-only-q20_20260529T132756Z/factor_router_auto_7_local-only-q20_20260529T132756Z_baseline_mean_q20_n13_pollocal_only_macroddqm2_25x3_us_macro_mw0p0
8,quota-6-7-q20-preserve-scores,baseline_mean,baseline_mean,0.2,quota,6:7,,13,86.70169311645064,0.15047592380352093,-0.4116044113559577,0.6509166995168775,,,True,reports/factor_router_auto_8_quota-q20_20260529T133938Z.json,reports/factor_router_auto_8_quota-q20_20260529T133938Z.md,experiments/ddqm2_factor_router_auto_8_quota-q20_20260529T133938Z/factor_router_auto_8_quota-q20_20260529T133938Z_baseline_mean_q20_n13_polquota_quota6x7_macroddqm2_25x3_us_macro_mw0p0
9,quota-6-7-q40-preserve-scores,baseline_mean,baseline_mean,0.4,quota,6:7,,13,9.512147869465453,0.07649302625475252,-0.3058841780945969,0.14008388425032264,,,True,reports/factor_router_auto_9_quota-q40_20260529T135115Z.json,reports/factor_router_auto_9_quota-q40_20260529T135115Z.md,experiments/ddqm2_factor_router_auto_9_quota-q40_20260529T135115Z/factor_router_auto_9_quota-q40_20260529T135115Z_baseline_mean_q40_n13_polquota_quota6x7_macroddqm2_25x3_us_macro_mw0p0
10,quota-q20-min-weight-001-storage-light,baseline_mean,baseline_mean,0.2,quota,6:7,,13,87.72683582351642,0.1508949001171802,-0.4116044113559577,0.6509588481159496,,,False,reports/factor_router_auto_10_quota-q20-mw001_20260529T140336Z.json,reports/factor_router_auto_10_quota-q20-mw001_20260529T140336Z.md,experiments/ddqm2_factor_router_auto_10_quota-q20-mw001_20260529T140336Z/factor_router_auto_10_quota-q20-mw001_20260529T140336Z_baseline_mean_q20_n13_polquota_quota6x7_macroddqm2_25x3_us_macro_mw0p01
