run_id,model,q,split,transaction_cost_bps,borrow_bps_annual,slippage_bps,tax_proxy_rate,periods,mean_monthly_return,volatility_monthly,mean_tax_drag,cumulative_return,max_drawdown
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,0.0,0.0,0.0,383,0.019067439457521592,0.07393456320830624,0.0,558.6409166187636,-0.37251284637432835
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,0.0,0.0,0.408,383,0.005748415480571779,0.05141292597778798,0.013319023976949814,4.506433832864446,-0.5203465093268309
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,0.0,10.0,0.0,383,0.017518693880248088,0.07393798593686847,0.0,310.7043082997268,-0.379861710763706
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,0.0,10.0,0.408,383,0.004574339235303611,0.05160818507115222,0.012944354644944474,2.502683592738752,-0.5813143008155752
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,0.0,25.0,0.0,383,0.01519557551433783,0.07394331579256201,0.0,128.34737895644045,-0.404624195696078
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,0.0,25.0,0.408,383,0.002792329303491759,0.051904937606947026,0.012403246210846071,0.7609222642847342,-0.6596229841516743
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,50.0,0.0,0.0,383,0.018650772790854923,0.07393456320830624,0.0,477.1609802865154,-0.3744904691138955
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,50.0,0.0,0.408,383,0.005433446098459765,0.05146549659165108,0.013217326692395157,3.8773567726688176,-0.5378782971617346
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,50.0,10.0,0.0,383,0.017102027213581422,0.07393798593686846,0.0,265.25790391351916,-0.38181956258633776
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,50.0,10.0,0.408,383,0.004256210427644776,0.05166136078831322,0.012845816785936643,2.0982837672913335,-0.5968597702877281
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,50.0,25.0,0.0,383,0.014778908847671164,0.07394331579256201,0.0,109.4483597459849,-0.4257306979542841
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,50.0,25.0,0.408,383,0.00247020571776504,0.051958835878773486,0.012308703129906121,0.5548587450353601,-0.6801606320648477
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,150.0,0.0,0.0,383,0.017817439457521587,0.07393456320830624,0.0,347.99470835823286,-0.3784297634544833
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,150.0,0.0,0.408,383,0.004800184820416478,0.05157122517458147,0.013017254637105114,2.8212471682673645,-0.5712599890442496
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,150.0,10.0,0.0,383,0.01626869388024809,0.07393798593686847,0.0,193.2392603829095,-0.385719447494279
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,150.0,10.0,0.408,383,0.003617658371216848,0.05176813075007243,0.012651035509031239,1.4217212120487277,-0.6262974499896673
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,150.0,25.0,0.0,383,0.013945575514337828,0.07394331579256201,0.0,79.51508418967188,-0.46574985219616405
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,150.0,25.0,0.408,383,0.0018247950586961473,0.05206692534887099,0.012120780455641684,0.21155027706910223,-0.7246511656408996
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,300.0,0.0,0.0,383,0.01656743945752159,0.07393456320830624,0.0,216.50735956264032,-0.38429900508953796
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,300.0,0.0,0.408,383,0.0038451584816378975,0.05173091168589135,0.012722280975883692,1.6438872089377417,-0.6172663910409333
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,300.0,10.0,0.0,383,0.01501869388024809,0.07393798593686846,0.0,119.9695797842255,-0.41663060006339014
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,300.0,10.0,0.408,383,0.0026523680276917968,0.0519294368720214,0.012366325852556294,0.6681887243155802,-0.6695323447022634
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,300.0,25.0,0.0,383,0.012695575514337828,0.07394331579256201,0.0,49.08880031093798,-0.5206655259016133
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,10.0,300.0,25.0,0.408,383,0.0008522622023512162,0.052229816304811785,0.011843313311986613,-0.1683557092633453,-0.7844440195604692
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,0.0,0.0,0.0,383,0.016744321091611333,0.07393973645557347,0.0,231.54799100108198,-0.38350856261200483
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,0.0,0.0,0.408,383,0.003984090039998021,0.05170654486044747,0.012760231051613316,1.7895653506917744,-0.6090885828740977
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,0.0,10.0,0.0,383,0.01519557551433783,0.07394331579256201,0.0,128.34737895644045,-0.404624195696078
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,0.0,10.0,0.408,383,0.002792329303491759,0.051904937606947026,0.012403246210846071,0.7609222642847342,-0.6596229841516743
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,0.0,25.0,0.0,383,0.012872457148427573,0.07394888051835935,0.0,52.56567317701114,-0.5107778437167686
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,0.0,25.0,0.408,383,0.000992792460924634,0.052205225145395835,0.01187966468750294,-0.12184160127184795,-0.7751363139157604
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,50.0,0.0,0.0,383,0.01632765442494467,0.07393973645557349,0.0,197.61849585937154,-0.385456590556682
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,50.0,0.0,0.408,383,0.0036642416978742336,0.05175999581963799,0.01266341272707043,1.4656773827279577,-0.6236384244762092
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,50.0,10.0,0.0,383,0.014778908847671164,0.07394331579256201,0.0,109.4483597459849,-0.4257306979542841
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,50.0,10.0,0.408,383,0.00247020571776504,0.051958835878773486,0.012308703129906121,0.5548587450353601,-0.6801606320648477
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,50.0,25.0,0.0,383,0.012455790481760907,0.07394888051835935,0.0,44.72244033987251,-0.5281601421032429
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,50.0,25.0,0.408,383,0.0006674880068133254,0.05225965736169511,0.01178830247494758,-0.22573942797884783,-0.7927851346507491
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,150.0,0.0,0.0,383,0.015494321091611333,0.07393973645557349,0.0,143.86012325328412,-0.3910739300381272
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,150.0,0.0,0.408,383,0.0030209441624019055,0.05186740288897707,0.012473376929209428,0.923445096501835,-0.6513376175817174
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,150.0,10.0,0.0,383,0.013945575514337828,0.07394331579256201,0.0,79.51508418967188,-0.46574985219616405
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,150.0,10.0,0.408,383,0.0018247950586961473,0.05206692534887099,0.012120780455641684,0.21155027706910223,-0.7246511656408996
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,150.0,25.0,0.0,383,0.011622457148427572,0.07394888051835935,0.0,32.30652928075358,-0.5611139707159718
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,150.0,25.0,0.408,383,1.4945186649643846e-05,0.052368789170391554,0.01160751196177793,-0.3986392068503123,-0.8241019350345549
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,300.0,0.0,0.0,383,0.014244321091611332,0.07393973645557349,0.0,89.18403449887933,-0.45357523300473745
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,300.0,0.0,0.408,383,0.002054579617469694,0.052029202573605826,0.012189741474141641,0.3240856250754347,-0.7096042223084363
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,300.0,10.0,0.0,383,0.012695575514337828,0.07394331579256201,0.0,49.08880031093798,-0.5206655259016133
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,300.0,10.0,0.408,383,0.0008522622023512162,0.052229816304811785,0.011843313311986613,-0.1683557092633453,-0.7844440195604692
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,300.0,25.0,0.0,383,0.010372457148427572,0.07394888051835935,0.0,19.697350634555328,-0.6063251541255594
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,25.0,300.0,25.0,0.408,383,-0.0009684081485246752,0.052533071107844026,0.011340865296952246,-0.589225311826364,-0.8625867711801333
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,0.0,0.0,0.0,383,0.012872457148427573,0.07394888051835935,0.0,52.56567317701114,-0.5107778437167686
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,0.0,0.0,0.408,383,0.000992792460924634,0.052205225145395835,0.01187966468750294,-0.12184160127184795,-0.7751363139157604
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,0.0,10.0,0.0,383,0.011323711571154069,0.07395272079285801,0.0,28.726582219079315,-0.5709176851810145
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,0.0,10.0,0.408,383,-0.00021795363649393506,0.05240708157985639,0.011541665207648004,-0.45051737282083404,-0.833317147407806
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,0.0,25.0,0.0,383,0.00900059320524381,0.07395867684991297,0.0,11.268407440752352,-0.6571053939590614
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,0.0,25.0,0.408,383,-0.002054469895634983,0.05271178101577418,0.011055063100878792,-0.7304630882404204,-0.8941810888231532
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,50.0,0.0,0.0,383,0.012455790481760907,0.07394888051835935,0.0,44.72244033987251,-0.5281601421032429
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,50.0,0.0,0.408,383,0.0006674880068133254,0.05225965736169511,0.01178830247494758,-0.22573942797884783,-0.7927851346507491
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,50.0,10.0,0.0,383,0.010907044904487401,0.07395272079285801,0.0,24.36772571791394,-0.5861860873844236
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,50.0,10.0,0.408,383,-0.0005453859536667754,0.052461815306578646,0.011452430858154176,-0.516004596757713,-0.8464724198011492
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,50.0,25.0,0.0,383,0.008583926538577145,0.07395867684991297,0.0,9.465613717845521,-0.6724959444871466
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,50.0,25.0,0.408,383,-0.0023876840291273426,0.052766805939536206,0.010971610567704487,-0.763172904067133,-0.9026767562284937
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,150.0,0.0,0.0,383,0.011622457148427572,0.07394888051835935,0.0,32.30652928075358,-0.5611139707159718
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,150.0,0.0,0.408,383,1.4945186649643846e-05,0.052368789170391554,0.01160751196177793,-0.3986392068503123,-0.8241019350345549
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,150.0,10.0,0.0,383,0.010073711571154068,0.073952720792858,0.0,17.470076002275142,-0.6164650559162097
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,150.0,10.0,0.408,383,-0.0012034074574770743,0.052571484780912066,0.011277119028631141,-0.625000401879526,-0.8698606418656805
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,150.0,25.0,0.0,383,0.007750593205243813,0.07395867684991297,0.0,6.614324152411299,-0.7013044847889335
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,150.0,25.0,0.408,383,-0.003055698708175629,0.05287701288793863,0.01080629191341944,-0.8173027786642683,-0.9178905755114466
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,300.0,0.0,0.0,383,0.010372457148427572,0.07394888051835935,0.0,19.697350634555328,-0.6063251541255594
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,300.0,0.0,0.408,383,-0.0009684081485246752,0.052533071107844026,0.011340865296952246,-0.589225311826364,-0.8625867711801333
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,300.0,10.0,0.0,383,0.008823711571154068,0.07395272079285801,0.0,10.469227058372917,-0.6657977138349137
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,300.0,10.0,0.408,383,-0.0021978320939992947,0.052736402604948336,0.011021543665153363,-0.7450623547755458,-0.8986419365755707
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,300.0,25.0,0.0,383,0.006500593205243811,0.07395867684991297,0.0,3.722968935177989,-0.7401323201663699
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,50.0,300.0,25.0,0.408,383,-0.004064001143187431,0.053042541663548326,0.01056459434843124,-0.8765526222829133,-0.9369930053886261
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,100.0,0.0,0.0,0.0,383,0.0051287292620600475,0.07396912519107858,0.0,1.7938177494445768,-0.7799122603156722
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,100.0,0.0,0.0,0.408,383,-0.005172815151309508,0.05322285022714948,0.010301544413369555,-0.9198182833436419,-0.9545330006924333
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,100.0,0.0,10.0,0.0,383,0.003579983684786545,0.07397348702892917,0.0,0.543334091481384,-0.8340192395513102
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,100.0,0.0,10.0,0.408,383,-0.00643102896103918,0.05342839299382441,0.010011012645825724,-0.95089359254741,-0.9694836082156397
full_long_short_full_chunked_20260528_anchor_baseline_mean_q10,baseline_mean,0.1,holdout,100.0,0.0,25.0,0.0,383,0.0012568653188762872,0.07398022526560322,0.0,-0.36744747981236303,-0.8942370475350743
